id,regency_id,name,area
1601052,1601,Lengkiti,Kecamatan
1601070,1601,Sosoh Buay Rayap,Kecamatan
1601080,1601,Pengandonan,Kecamatan
1601081,1601,Semidang Aji,Kecamatan
1601082,1601,Ulu Ogan,Kecamatan
1601083,1601,Muara Jaya,Kecamatan
1601090,1601,Peninjauan,Kecamatan
1601091,1601,Lubuk Batang,Kecamatan
1601092,1601,Sinar Peninjauan,Kecamatan
1601093,1601,Kedaton Peninjauan Raya,Kecamatan
1601130,1601,Batu Raja Timur,Kecamatan
1601131,1601,Lubuk Raja,Kecamatan
1601140,1601,Batu Raja Barat,Kecamatan
1602010,1602,Lempuing,Kecamatan
1602011,1602,Lempuing Jaya,Kecamatan
1602020,1602,Mesuji,Kecamatan
1602021,1602,Sungai Menang,Kecamatan
1602022,1602,Mesuji Makmur,Kecamatan
1602023,1602,Mesuji Raya,Kecamatan
1602030,1602,Tulung Selapan,Kecamatan
1602031,1602,Cengal,Kecamatan
1602040,1602,Pedamaran,Kecamatan
1602041,1602,Pedamaran Timur,Kecamatan
1602050,1602,Tanjung Lubuk,Kecamatan
1602051,1602,Teluk Gelam,Kecamatan
1602060,1602,Kota Kayu Agung,Kecamatan
1602120,1602,Sirah Pulau Padang,Kecamatan
1602121,1602,Jejawi,Kecamatan
1602130,1602,Pampangan,Kecamatan
1602131,1602,Pangkalan Lapam,Kecamatan
1602140,1602,Air Sugihan,Kecamatan
1603010,1603,Semendo Darat Laut,Kecamatan
1603011,1603,Semendo Darat Ulu,Kecamatan
1603012,1603,Semendo Darat Tengah,Kecamatan
1603020,1603,Tanjung Agung,Kecamatan
1603031,1603,Rambang,Kecamatan
1603032,1603,Lubai,Kecamatan
1603033,1603,Lubai Ulu,Kecamatan
1603040,1603,Lawang Kidul,Kecamatan
1603050,1603,Muara Enim,Kecamatan
1603051,1603,Ujan Mas,Kecamatan
1603060,1603,Gunung Megang,Kecamatan
1603061,1603,Benakat,Kecamatan
1603062,1603,Belimbing,Kecamatan
1603070,1603,Rambang Dangku,Kecamatan
1603090,1603,Gelumbang,Kecamatan
1603091,1603,Lembak,Kecamatan
1603092,1603,Sungai Rotan,Kecamatan
1603093,1603,Muara Belida,Kecamatan
1603094,1603,Kelekar,Kecamatan
1603095,1603,Belida Darat,Kecamatan
1604011,1604,Tanjung Sakti Pumi,Kecamatan
1604012,1604,Tanjung Sakti Pumu,Kecamatan
1604040,1604,Kota Agung,Kecamatan
1604041,1604,Mulak Ulu,Kecamatan
1604042,1604,Tanjung Tebat,Kecamatan
1604043,1604,Mulak Sebingkai,Kecamatan
1604050,1604,Pulau Pinang,Kecamatan
1604051,1604,Pagar Gunung,Kecamatan
1604052,1604,Gumay Ulu,Kecamatan
1604060,1604,Jarai,Kecamatan
1604061,1604,Pajar Bulan,Kecamatan
1604062,1604,Muara Payang,Kecamatan
1604063,1604,Sukamerindu,Kecamatan
1604111,1604,Kikim Barat,Kecamatan
1604112,1604,Kikim Timur,Kecamatan
1604113,1604,Kikim Selatan,Kecamatan
1604114,1604,Kikim Tengah,Kecamatan
1604120,1604,Lahat,Kecamatan
1604121,1604,Gumay Talang,Kecamatan
1604122,1604,Pseksu,Kecamatan
1604123,1604,Lahat Selatan,Kecamatan
1604131,1604,Merapi Barat,Kecamatan
1604132,1604,Merapi Timur,Kecamatan
1604133,1604,Merapi Selatan,Kecamatan
1605030,1605,Suku Tengah Lakitan Ulu,Kecamatan
1605031,1605,Selangit,Kecamatan
1605032,1605,Sumber Harta,Kecamatan
1605040,1605,Tugumulyo,Kecamatan
1605041,1605,Purwodadi,Kecamatan
1605050,1605,Muara Beliti,Kecamatan
1605051,1605,Tiang Pumpung Kepungut,Kecamatan
1605060,1605,Jayaloka,Kecamatan
1605061,1605,Suka Karya,Kecamatan
1605070,1605,Muara Kelingi,Kecamatan
1605071,1605,Bulang Tengah Suku Ulu,Kecamatan
1605072,1605,Tuah Negeri,Kecamatan
1605080,1605,Muara Lakitan,Kecamatan
1605090,1605,Megang Sakti,Kecamatan
1606010,1606,Sanga Desa,Kecamatan
1606020,1606,Babat Toman,Kecamatan
1606021,1606,Batanghari Leko,Kecamatan
