id,district_id,name,area
1601052001,1601052,Bandar Jaya,Kelurahan/Desa
1601052002,1601052,Karang Endah,Kelurahan/Desa
1601052003,1601052,Pajar Bulan,Kelurahan/Desa
1601052004,1601052,Pagar Dewa,Kelurahan/Desa
1601052005,1601052,Tanjung Lengkayap,Kelurahan/Desa
1601052006,1601052,Bumi Kawa,Kelurahan/Desa
1601052007,1601052,Negeri Ratu,Kelurahan/Desa
1601052008,1601052,Lubuk Dalam,Kelurahan/Desa
1601052009,1601052,Segara Kembang,Kelurahan/Desa
1601052010,1601052,Sukaraja,Kelurahan/Desa
1601052011,1601052,Gedung Pakuan,Kelurahan/Desa
1601052012,1601052,Tualang,Kelurahan/Desa
1601052013,1601052,Sundan,Kelurahan/Desa
1601052014,1601052,Tihang,Kelurahan/Desa
1601052015,1601052,Lubuk Hara,Kelurahan/Desa
1601052016,1601052,Negeri Agung,Kelurahan/Desa
1601052017,1601052,Way Heling,Kelurahan/Desa
1601052018,1601052,Bunga Tanjung,Kelurahan/Desa
1601052019,1601052,Umpam,Kelurahan/Desa
1601052020,1601052,Tanjung Agung,Kelurahan/Desa
1601052021,1601052,Simpang Empat,Kelurahan/Desa
1601052022,1601052,Fajar Jaya,Kelurahan/Desa
1601070001,1601070,Negeri Sindang,Kelurahan/Desa
1601070002,1601070,Rantau Kumpai,Kelurahan/Desa
1601070003,1601070,Tungku Jaya,Kelurahan/Desa
1601070004,1601070,Lubuk Baru,Kelurahan/Desa
1601070005,1601070,Bandar,Kelurahan/Desa
1601070006,1601070,Lubuk Leban,Kelurahan/Desa
1601070007,1601070,Penyandingan,Kelurahan/Desa
1601070008,1601070,Kungkilan,Kelurahan/Desa
1601070009,1601070,Mekar Jaya,Kelurahan/Desa
1601070010,1601070,Penantian,Kelurahan/Desa
1601070011,1601070,Mekar Sari,Kelurahan/Desa
1601080008,1601080,Gunung Meraksa,Kelurahan/Desa
1601080010,1601080,Tanjung Pura,Kelurahan/Desa
1601080011,1601080,Tanjung Sari,Kelurahan/Desa
1601080012,1601080,Tangsi Lontar,Kelurahan/Desa
1601080017,1601080,Belambangan,Kelurahan/Desa
1601080018,1601080,Kesambi Rata,Kelurahan/Desa
1601080021,1601080,Gunung Liwat,Kelurahan/Desa
1601080022,1601080,Semanding,Kelurahan/Desa
1601080023,1601080,Pengandonan,Kelurahan/Desa
1601080024,1601080,Tanjungan,Kelurahan/Desa
1601080025,1601080,Ujan Mas,Kelurahan/Desa
1601080026,1601080,Gunung Kuripan,Kelurahan/Desa
1601081001,1601081,Tanjung Kurung,Kelurahan/Desa
1601081002,1601081,Sukarami,Kelurahan/Desa
1601081003,1601081,Batang Hari,Kelurahan/Desa
1601081004,1601081,Nyiur Sayak,Kelurahan/Desa
1601081005,1601081,Suka Merindu,Kelurahan/Desa
1601081006,1601081,Padang Bindu,Kelurahan/Desa
1601081007,1601081,Panggal Panggal,Kelurahan/Desa
1601081008,1601081,Bedegung,Kelurahan/Desa
1601081009,1601081,Ulak Pandan,Kelurahan/Desa
1601081010,1601081,Kebon Agung,Kelurahan/Desa
1601081011,1601081,Tubohan,Kelurahan/Desa
1601081012,1601081,Raksa Jiwa,Kelurahan/Desa
1601081013,1601081,Guna Makmur,Kelurahan/Desa
1601081014,1601081,Seleman,Kelurahan/Desa
1601081015,1601081,Kebun Jati,Kelurahan/Desa
1601081016,1601081,Singapura,Kelurahan/Desa
1601081017,1601081,Pengaringan,Kelurahan/Desa
1601081018,1601081,Panai Makmur,Kelurahan/Desa
1601081019,1601081,Banjar Sari,Kelurahan/Desa
1601081020,1601081,Pandan Dulang,Kelurahan/Desa
1601081021,1601081,Tebing Kampung,Kelurahan/Desa
1601082001,1601082,Kelumpang,Kelurahan/Desa
1601082002,1601082,Mendingin,Kelurahan/Desa
1601082003,1601082,Sukajadi,Kelurahan/Desa
1601082004,1601082,Gunung Tiga,Kelurahan/Desa
1601082005,1601082,Ulak Lebar,Kelurahan/Desa
1601082006,1601082,Pedataran,Kelurahan/Desa
1601082007,1601082,Belandang,Kelurahan/Desa
1601083001,1601083,Kemala Jaya,Kelurahan/Desa
1601083002,1601083,Lontar,Kelurahan/Desa
1601083003,1601083,Lubuk Tupak,Kelurahan/Desa
1601083004,1601083,Beringin,Kelurahan/Desa
1601083005,1601083,Muara Saeh,Kelurahan/Desa
1601083006,1601083,Surau,Kelurahan/Desa
1601083007,1601083,Karang Lantang,Kelurahan/Desa
1601090015,1601090,Kepayang,Kelurahan/Desa
1601090017,1601090,Kedondong,Kelurahan/Desa
1601090018,1601090,Belimbing,Kelurahan/Desa
1601090021,1601090,Durian,Kelurahan/Desa
1601090022,1601090,Espe Tiga,Kelurahan/Desa
1601090023,1601090,Lubuk Rukam,Kelurahan/Desa
1601090024,1601090,Bindu,Kelurahan/Desa
1601090028,1601090,Mendala,Kelurahan/Desa
1601090029,1601090,Panji Jaya,Kelurahan/Desa
1601090030,1601090,Makarti Jaya,Kelurahan/Desa
1601090031,1601090,Makarti Tama,Kelurahan/Desa
1601090032,1601090,Penilikan/Mitra Ogan,Kelurahan/Desa
1601090033,1601090,Peninjauan,Kelurahan/Desa
1601090034,1601090,Saung Naga,Kelurahan/Desa
1601090035,1601090,Mitra Kencana,Kelurahan/Desa
1601090044,1601090,Karang Dapo,Kelurahan/Desa
1601091001,1601091,Merbau,Kelurahan/Desa
1601091002,1601091,Gunung Meraksa,Kelurahan/Desa
1601091003,1601091,Kurup,Kelurahan/Desa
1601091004,1601091,Banu Ayu,Kelurahan/Desa
1601091006,1601091,Tanjung Dalam,Kelurahan/Desa
1601091007,1601091,Lubuk Batang Baru,Kelurahan/Desa
1601091008,1601091,Lubuk Batang Lama,Kelurahan/Desa
1601091010,1601091,Belatung,Kelurahan/Desa
1601091011,1601091,Karta Mulia,Kelurahan/Desa
1601091012,1601091,Markisa,Kelurahan/Desa
1601091013,1601091,Lunggaian Baru/Air Wal,Kelurahan/Desa
1601091014,1601091,Lunggaian,Kelurahan/Desa
1601091015,1601091,Tanjung Manggus,Kelurahan/Desa
1601091016,1601091,Bandar Agung,Kelurahan/Desa
1601091017,1601091,Sumber Bahagia,Kelurahan/Desa
1601092001,1601092,Marga Bakti,Kelurahan/Desa
1601092002,1601092,Karya Mukti,Kelurahan/Desa
1601092003,1601092,Karya Jaya,Kelurahan/Desa
1601092004,1601092,Sri Mulya,Kelurahan/Desa
1601092005,1601092,Marga Mulya,Kelurahan/Desa
1601092006,1601092,Tanjung Makmur,Kelurahan/Desa
1601093001,1601093,Bunglai,Kelurahan/Desa
1601093002,1601093,Kedaton,Kelurahan/Desa
1601093003,1601093,Kampai,Kelurahan/Desa
1601093004,1601093,Rantau Panjang,Kelurahan/Desa
1601093005,1601093,Suka Pindah,Kelurahan/Desa
1601093006,1601093,Lubuk Kemiling,Kelurahan/Desa
1601093007,1601093,Sinar Kedaton,Kelurahan/Desa
1601093008,1601093,Kedaton Timur,Kelurahan/Desa
1601130004,1601130,Tanjung Baru,Kelurahan/Desa
1601130005,1601130,Pasar Baru,Kelurahan/Desa
1601130007,1601130,Kemala Raja,Kelurahan/Desa
1601130008,1601130,Sukaraya,Kelurahan/Desa
1601130009,1601130,Tanjung Kemala,Kelurahan/Desa
1601130010,1601130,Sukajadi,Kelurahan/Desa
1601130011,1601130,Air Pauh,Kelurahan/Desa
1601130012,1601130,Baturaja Permai,Kelurahan/Desa
1601130013,1601130,Terusan,Kelurahan/Desa
1601130014,1601130,Sekar Jaya,Kelurahan/Desa
1601130015,1601130,Sepancar Lawang Kulon,Kelurahan/Desa
1601130016,1601130,Kemelak Bindung Langit,Kelurahan/Desa
1601130017,1601130,Baturaja Lama,Kelurahan/Desa
1601131001,1601131,Batumarta I,Kelurahan/Desa
1601131002,1601131,Batumarta II,Kelurahan/Desa
1601131003,1601131,Battu Winangun,Kelurahan/Desa
1601131004,1601131,Lekis Rejo,Kelurahan/Desa
1601131005,1601131,Lubuk Banjar,Kelurahan/Desa
1601131006,1601131,Batu Raden,Kelurahan/Desa
1601131007,1601131,Marta Jaya,Kelurahan/Desa
1601140001,1601140,Batu Putih,Kelurahan/Desa
1601140002,1601140,Laya,Kelurahan/Desa
1601140003,1601140,Saung Naga,Kelurahan/Desa
1601140004,1601140,Tanjung Agung,Kelurahan/Desa
1601140005,1601140,Talang Jawa,Kelurahan/Desa
1601140006,1601140,Air Gading,Kelurahan/Desa
1601140007,1601140,Pusar,Kelurahan/Desa
1601140008,1601140,Batu Kuning,Kelurahan/Desa
1601140009,1601140,Karang Agung,Kelurahan/Desa
1601140010,1601140,Karang Endah,Kelurahan/Desa
1601140011,1601140,Tanjung Karang,Kelurahan/Desa
1601140012,1601140,Suka Maju,Kelurahan/Desa
1602010001,1602010,Cahya Bumi,Kelurahan/Desa
1602010002,1602010,Bumi Arjo,Kelurahan/Desa
